Project,Month,Epic,Team,Epic_Summary,Hours
BIGO,2024-06,BIGO-1,BE Devs,"Project oversight / support",0.33
BIGO,2024-06,BIGO-1,FE Devs,"Project oversight / support",1.00
BIGO,2024-06,BIGO-1,PMs,"Project oversight / support",1.50
BIGO,2024-06,BIGO-1,UX,"Project oversight / support",2.00
BIGO,2024-07,BIGO-1,BE Devs,"Project oversight / support",3.00
BIGO,2024-07,BIGO-1,Design,"Project oversight / support",13.58
BIGO,2024-07,BIGO-1,FE Devs,"Project oversight / support",45.65
BIGO,2024-07,BIGO-1,PMs,"Project oversight / support",33.33
BIGO,2024-07,BIGO-1,UX,"Project oversight / support",15.25
BIGO,2024-07,BIGO-113,Design,"Design Prototyping and Refinement",4.00
BIGO,2024-07,BIGO-23,BE Devs,"Migrations and Automation",20.70
BIGO,2024-07,BIGO-23,FE Devs,"Migrations and Automation",10.00
BIGO,2024-07,BIGO-23,PMs,"Migrations and Automation",1.50
BIGO,2024-07,BIGO-25,PMs,"3rd Party apps",0.25
BIGO,2024-07,BIGO-27,PMs,"UX",0.25
BIGO,2024-07,BIGO-27,UX,"UX",12.00
BIGO,2024-07,BIGO-28,Design,"Design Ideation phase",21.50
BIGO,2024-07,BIGO-28,PMs,"Design Ideation phase",0.75
BIGO,2024-07,BIGO-38,FE Devs,"Globals",5.00
BIGO,2024-07,BIGO-40,FE Devs,"Blog",8.75
BIGO,2024-08,BIGO-1,BE Devs,"Project oversight / support",1.75
BIGO,2024-08,BIGO-1,Design,"Project oversight / support",8.50
BIGO,2024-08,BIGO-1,FE Devs,"Project oversight / support",33.75
BIGO,2024-08,BIGO-1,PMs,"Project oversight / support",43.83
BIGO,2024-08,BIGO-1,UX,"Project oversight / support",7.17
BIGO,2024-08,BIGO-113,Design,"Design Prototyping and Refinement",26.00
BIGO,2024-08,BIGO-113,UX,"Design Prototyping and Refinement",1.00
BIGO,2024-08,BIGO-144,PMs,"Cart",0.50
BIGO,2024-08,BIGO-23,BE Devs,"Migrations and Automation",9.67
BIGO,2024-08,BIGO-23,PMs,"Migrations and Automation",0.50
BIGO,2024-08,BIGO-25,PMs,"3rd Party apps",0.25
BIGO,2024-08,BIGO-27,UX,"UX",0.50
BIGO,2024-08,BIGO-28,Design,"Design Ideation phase",10.25
BIGO,2024-08,BIGO-38,FE Devs,"Globals",5.75
BIGO,2024-08,BIGO-40,FE Devs,"Blog",4.25
