Project,Month,Epic,Epic_Summary,Hours
BIGO,2024-11,BIGO-1,"Project oversight / support",20.33
BIGO,2024-11,BIGO-118,"CI & Deployment",2.00
BIGO,2024-11,BIGO-27,"UX",3.50
BIGO,2024-11,BIGO-45,"Site Structure",5.50
BIGO,2024-11,No Epic,"",47.25
BIGO,2024-12,BIGO-1,"Project oversight / support",9.50
BIGO,2024-12,BIGO-118,"CI & Deployment",0.50
BIGO,2024-12,No Epic,"",24.83
BIGO,2025-01,BIGO-1,"Project oversight / support",22.75
BIGO,2025-01,BIGO-349,"Strategy ",9.00
BIGO,2025-01,No Epic,"",37.75
BIGO,2025-02,BIGO-1,"Project oversight / support",22.17
BIGO,2025-02,BIGO-349,"Strategy ",7.00
BIGO,2025-02,No Epic,"",13.67
BIGO,2025-03,BIGO-1,"Project oversight / support",20.00
BIGO,2025-03,BIGO-118,"CI & Deployment",0.50
BIGO,2025-03,BIGO-313,"Shopify Markets Setup",3.25
BIGO,2025-03,BIGO-317,"Product Bundles",7.50
BIGO,2025-03,No Epic,"",27.50
BIGO,2025-04,BIGO-1,"Project oversight / support",14.00
BIGO,2025-04,BIGO-313,"Shopify Markets Setup",21.75
BIGO,2025-04,BIGO-349,"Strategy ",1.00
BIGO,2025-04,No Epic,"",9.25
BIGO,2025-05,BIGO-1,"Project oversight / support",20.50
BIGO,2025-05,BIGO-313,"Shopify Markets Setup",6.50
BIGO,2025-05,BIGO-349,"Strategy ",1.00
BIGO,2025-05,No Epic,"",32.00
BIGO,2025-06,BIGO-1,"Project oversight / support",26.25
BIGO,2025-06,BIGO-313,"Shopify Markets Setup",0.25
BIGO,2025-06,BIGO-349,"Strategy ",0.50
BIGO,2025-06,No Epic,"",33.50
BIGO,2025-07,BIGO-1,"Project oversight / support",30.50
BIGO,2025-07,No Epic,"",8.50
BIGO,2025-08,BIGO-1,"Project oversight / support",17.25
BIGO,2025-08,No Epic,"",32.50
BIGO,2025-09,BIGO-1,"Project oversight / support",29.00
BIGO,2025-09,BIGO-313,"Shopify Markets Setup",1.75
BIGO,2025-09,No Epic,"",59.75
BIGO,2025-10,BIGO-1,"Project oversight / support",38.45
BIGO,2025-10,BIGO-313,"Shopify Markets Setup",1.25
BIGO,2025-10,No Epic,"",18.08
BIGO,2025-11,BIGO-1,"Project oversight / support",0.25
BIGO,2025-11,No Epic,"",1.50
