Project,Month,Epic,Epic_Summary,Hours
BIGO,2024-06,BIGO-1,"Project oversight / support",4.83
BIGO,2024-07,BIGO-1,"Project oversight / support",110.82
BIGO,2024-07,BIGO-113,"Design Prototyping and Refinement",4.00
BIGO,2024-07,BIGO-23,"Migrations and Automation",32.20
BIGO,2024-07,BIGO-25,"3rd Party apps",0.25
BIGO,2024-07,BIGO-27,"UX",12.25
BIGO,2024-07,BIGO-28,"Design Ideation phase",22.25
BIGO,2024-07,BIGO-38,"Globals",5.00
BIGO,2024-07,BIGO-40,"Blog",8.75
BIGO,2024-08,BIGO-1,"Project oversight / support",95.00
BIGO,2024-08,BIGO-113,"Design Prototyping and Refinement",27.00
BIGO,2024-08,BIGO-144,"Cart",0.50
BIGO,2024-08,BIGO-23,"Migrations and Automation",10.17
BIGO,2024-08,BIGO-25,"3rd Party apps",0.25
BIGO,2024-08,BIGO-27,"UX",0.50
BIGO,2024-08,BIGO-28,"Design Ideation phase",10.25
BIGO,2024-08,BIGO-38,"Globals",5.75
BIGO,2024-08,BIGO-40,"Blog",4.25
BIGO,2024-08,BIGO-42,"Pages",14.75
BIGO,2024-08,BIGO-43,"Product Details",42.25
BIGO,2024-08,BIGO-44,"Components",6.25
BIGO,2024-08,BIGO-45,"Site Structure",71.25
BIGO,2024-08,BIGO-46,"PLP / Search",19.25
BIGO,2024-08,BIGO-47,"Content Sections",78.77
BIGO,2024-09,BIGO-1,"Project oversight / support",106.67
BIGO,2024-09,BIGO-144,"Cart",19.75
BIGO,2024-09,BIGO-153,"Design cart/mini cart",2.25
BIGO,2024-09,BIGO-165,"UAT | PLP",1.00
BIGO,2024-09,BIGO-173,"UAT | PDP",2.50
BIGO,2024-09,BIGO-193,"UAT | Global Site Functionality",0.50
BIGO,2024-09,BIGO-194,"UAT | Homepage Sections",0.25
BIGO,2024-09,BIGO-23,"Migrations and Automation",3.25
BIGO,2024-09,BIGO-25,"3rd Party apps",2.50
BIGO,2024-09,BIGO-27,"UX",1.50
BIGO,2024-09,BIGO-38,"Globals",10.00
BIGO,2024-09,BIGO-40,"Blog",12.50
BIGO,2024-09,BIGO-41,"Account",9.50
BIGO,2024-09,BIGO-42,"Pages",50.50
BIGO,2024-09,BIGO-43,"Product Details",21.45
BIGO,2024-09,BIGO-44,"Components",11.75
BIGO,2024-09,BIGO-45,"Site Structure",9.00
BIGO,2024-09,BIGO-46,"PLP / Search",52.25
BIGO,2024-09,BIGO-47,"Content Sections",36.52
BIGO,2024-10,BIGO-1,"Project oversight / support",107.50
BIGO,2024-10,BIGO-144,"Cart",18.50
BIGO,2024-10,BIGO-155,"Analytics & SEO",0.25
BIGO,2024-10,BIGO-165,"UAT | PLP",0.50
BIGO,2024-10,BIGO-173,"UAT | PDP",0.25
BIGO,2024-10,BIGO-193,"UAT | Global Site Functionality",0.25
BIGO,2024-10,BIGO-194,"UAT | Homepage Sections",0.25
BIGO,2024-10,BIGO-23,"Migrations and Automation",3.50
BIGO,2024-10,BIGO-25,"3rd Party apps",2.75
BIGO,2024-10,BIGO-253,"UAT | Discounts/Promotions",0.50
BIGO,2024-10,BIGO-27,"UX",4.00
BIGO,2024-10,BIGO-38,"Globals",0.25
BIGO,2024-10,BIGO-40,"Blog",0.25
BIGO,2024-10,BIGO-41,"Account",5.00
BIGO,2024-10,BIGO-42,"Pages",1.25
BIGO,2024-10,BIGO-43,"Product Details",22.67
BIGO,2024-10,BIGO-44,"Components",3.75
BIGO,2024-10,BIGO-45,"Site Structure",9.25
BIGO,2024-10,BIGO-46,"PLP / Search",18.25
BIGO,2024-10,BIGO-47,"Content Sections",13.75
