Project,Month,Epic,Epic_Summary,Hours
BMBY,2024-07,BMBY-1,"Project Oversight / Support",117.75
BMBY,2024-07,BMBY-13,"Globals & Style Guide",32.00
BMBY,2024-07,BMBY-14,"Header",3.75
BMBY,2024-07,BMBY-15,"Footer",1.00
BMBY,2024-07,BMBY-20,"PDP Image & Summary",8.50
BMBY,2024-07,BMBY-27,"Content Sections",7.50
BMBY,2024-07,BMBY-35,"Analytics",18.50
BMBY,2024-08,BMBY-1,"Project Oversight / Support",149.17
BMBY,2024-08,BMBY-14,"Header",28.50
BMBY,2024-08,BMBY-147,"Store Attribution",1.50
BMBY,2024-08,BMBY-15,"Footer",27.00
BMBY,2024-08,BMBY-16,"Mega Menu",7.50
BMBY,2024-08,BMBY-17,"Search",37.25
BMBY,2024-08,BMBY-18,"PLP / SRP",20.75
BMBY,2024-08,BMBY-19,"Quick View",4.00
BMBY,2024-08,BMBY-20,"PDP Image & Summary",26.75
BMBY,2024-08,BMBY-21,"PDP Details",11.50
BMBY,2024-08,BMBY-22,"PDP Upsells & Cross Sells",14.00
BMBY,2024-08,BMBY-23,"Cart",7.00
BMBY,2024-08,BMBY-24,"BOPIS / Locations",10.50
BMBY,2024-08,BMBY-25,"Blog",11.75
BMBY,2024-08,BMBY-27,"Content Sections",100.25
BMBY,2024-08,BMBY-29,"Emails",3.25
BMBY,2024-08,BMBY-32,"Registry",12.25
BMBY,2024-08,BMBY-37,"Brands",2.50
BMBY,2024-08,BMBY-86,"Components",17.50
BMBY,2024-08,BMBY-90,"Account",1.75
BMBY,2024-09,BMBY-1,"Project Oversight / Support",72.75
BMBY,2024-09,BMBY-13,"Globals & Style Guide",1.25
BMBY,2024-09,BMBY-132,"Launch Set Up",2.00
BMBY,2024-09,BMBY-147,"Store Attribution",2.75
BMBY,2024-09,BMBY-15,"Footer",0.25
BMBY,2024-09,BMBY-16,"Mega Menu",0.25
BMBY,2024-09,BMBY-17,"Search",0.75
BMBY,2024-09,BMBY-18,"PLP / SRP",10.75
BMBY,2024-09,BMBY-19,"Quick View",4.50
BMBY,2024-09,BMBY-20,"PDP Image & Summary",9.75
BMBY,2024-09,BMBY-21,"PDP Details",2.75
BMBY,2024-09,BMBY-23,"Cart",1.25
BMBY,2024-09,BMBY-24,"BOPIS / Locations",1.25
BMBY,2024-09,BMBY-25,"Blog",2.00
BMBY,2024-09,BMBY-27,"Content Sections",6.50
BMBY,2024-09,BMBY-28,"Reviews",9.25
BMBY,2024-09,BMBY-29,"Emails",2.50
BMBY,2024-09,BMBY-32,"Registry",1.25
BMBY,2024-09,BMBY-33,"Buy Now Pay Later",0.75
BMBY,2024-09,BMBY-37,"Brands",1.00
BMBY,2024-09,BMBY-86,"Components",2.50
BMBY,2024-09,BMBY-91,"3rd Party Apps",1.75
BMBY,2024-10,BMBY-1,"Project Oversight / Support",5.75
BMBY,2024-10,BMBY-20,"PDP Image & Summary",4.00
BMBY,2024-11,BMBY-1,"Project Oversight / Support",2.00
BMBY,2024-11,BMBY-20,"PDP Image & Summary",5.75
