Project,Month,Epic,Epic_Summary,Hours
COOP,2025-01,COOP-1,"Project Oversight / Support",53.75
COOP,2025-01,COOP-14,"Globals & Style Guide",0.50
COOP,2025-01,COOP-19,"Mega Menu",0.25
COOP,2025-02,COOP-1,"Project Oversight / Support",79.83
COOP,2025-02,COOP-14,"Globals & Style Guide",13.25
COOP,2025-02,COOP-16,"Content Sections",8.00
COOP,2025-02,COOP-21,"PLP / SRP",4.75
COOP,2025-02,COOP-102,"Academic Purchasing Journey",4.50
COOP,2025-02,COOP-22,"PDP Image & Summary",4.00
COOP,2025-02,COOP-112,"POS Scholarship Extension",2.25
COOP,2025-02,COOP-108,"Scholarships",1.25
COOP,2025-02,COOP-38,"Scholarship Integration",1.00
COOP,2025-02,COOP-105,"[Watchman] POS Extension",0.25
COOP,2025-03,COOP-112,"POS Scholarship Extension",57.25
COOP,2025-03,COOP-1,"Project Oversight / Support",41.25
COOP,2025-03,COOP-14,"Globals & Style Guide",22.25
COOP,2025-03,COOP-102,"Academic Purchasing Journey",20.25
COOP,2025-03,COOP-20,"Search",9.75
COOP,2025-03,COOP-18,"Footer",8.50
COOP,2025-03,COOP-17,"Header",6.25
COOP,2025-03,COOP-22,"PDP Image & Summary",4.25
COOP,2025-03,COOP-16,"Content Sections",4.25
COOP,2025-03,COOP-15,"Components",2.75
COOP,2025-03,COOP-21,"PLP / SRP",2.25
COOP,2025-04,COOP-16,"Content Sections",64.50
COOP,2025-04,COOP-1,"Project Oversight / Support",59.75
COOP,2025-04,COOP-26,"Cart",17.50
COOP,2025-04,COOP-15,"Components",9.25
COOP,2025-04,COOP-21,"PLP / SRP",8.50
COOP,2025-04,COOP-143,"Donations",7.50
COOP,2025-04,COOP-19,"Mega Menu",5.75
COOP,2025-04,COOP-17,"Header",4.75
COOP,2025-04,COOP-23,"PDP Details",3.75
COOP,2025-04,COOP-20,"Search",2.75
COOP,2025-04,COOP-108,"Scholarships",2.50
