Project,Team,Total_Hours,Num_Epics,Avg_Hours_Per_Epic,Utilization_%
BIGO,FE Devs,1117.10,18,62.06,58.4
BIGO,PMs,500.45,26,19.25,26.2
BIGO,Design,147.08,15,9.81,7.7
BIGO,UX,80.67,5,16.13,4.2
BIGO,BE Devs,67.32,7,9.62,3.5
BMBY,FE Devs,595.25,25,23.81,70.8
BMBY,PMs,130.67,12,10.89,15.6
BMBY,Design,57.25,8,7.16,6.8
BMBY,UX,44.00,6,7.33,5.2
BMBY,BE Devs,13.00,1,13.00,1.5
SRLK,BE Devs,732.61,11,66.60,42.2
SRLK,FE Devs,678.80,25,27.15,39.1
SRLK,PMs,214.83,31,6.93,12.4
SRLK,Design,78.00,8,9.75,4.5
SRLK,UX,33.50,5,6.70,1.9
