Project,Epic,Epic_Summary,Num_Teams,Total_Hours,Complexity_Score,Complexity_Level
BIGO,BIGO-1,Project oversight / support,5,706.01,32.81,Very High
SRLK,SRLK-1,Project Oversight / Support,5,439.67,30.44,Very High
BMBY,BMBY-1,Project Oversight / Support,5,347.42,29.27,High
BIGO,No Epic,,4,405.33,24.03,High
SRLK,SRLK-27,BOPIS / Locations,4,159.72,20.32,High
BIGO,BIGO-47,Content Sections,4,129.04,19.47,Medium
BMBY,BMBY-27,Content Sections,4,114.25,18.99,Medium
BIGO,BIGO-46,PLP / Search,4,89.75,18.03,Medium
BIGO,BIGO-43,Product Details,4,86.37,17.88,Medium
SRLK,SRLK-31,Catalog Integration,3,372.60,17.77,Medium
SRLK,SRLK-13,Globals & Style Guide,4,63.00,16.64,Medium
BMBY,BMBY-20,PDP Image & Summary,4,54.75,16.08,Medium
BIGO,BIGO-144,Cart,4,38.75,14.73,Medium
BMBY,BMBY-18,PLP / SRP,4,31.50,13.92,Medium
SRLK,SRLK-37,Launch Set Up,4,31.00,13.86,Medium
SRLK,SRLK-36,Bulk Image Uploader,3,97.00,13.75,Medium
BIGO,BIGO-45,Site Structure,3,95.00,13.69,Medium
SRLK,SRLK-17,Content Sections,3,73.25,12.92,Medium
BIGO,BIGO-42,Pages,3,66.50,12.64,Medium
BIGO,BIGO-23,Migrations and Automation,3,49.12,11.74,Medium
SRLK,SRLK-20,PDP Image & Summary,3,44.75,11.47,Medium
SRLK,SRLK-23,PLP / SRP,3,42.25,11.30,Medium
BMBY,BMBY-17,Search,3,38.00,10.99,Medium
BIGO,BIGO-313,Shopify Markets Setup,3,34.75,10.73,Medium
BMBY,BMBY-13,Globals & Style Guide,3,33.25,10.60,Medium
SRLK,SRLK-15,Header,3,29.00,10.20,Medium
BIGO,BIGO-40,Blog,3,25.75,9.86,Low
BIGO,BIGO-27,UX,3,22.25,9.44,Low
BIGO,BIGO-44,Components,3,21.75,9.37,Low
SRLK,SRLK-58,Fulfillment Integration,3,20.53,9.21,Low
BIGO,BIGO-41,Account,3,14.50,8.22,Low
SRLK,SRLK-39,Components,2,43.50,7.59,Low
SRLK,SRLK-14,Analytics,3,10.25,7.26,Low
SRLK,SRLK-16,Footer,2,35.75,7.21,Low
