Project,Team,Avg_Hours,Min_Hours,Max_Hours,Sample_Size,Confidence
BIGO,BE Devs,4.49,0.25,20.70,15,Medium
BIGO,Design,5.07,0.25,26.00,29,High
BIGO,FE Devs,15.10,0.25,68.75,74,High
BIGO,PMs,6.33,0.25,56.00,79,High
BIGO,UX,3.51,0.50,15.25,23,High
BMBY,BE Devs,3.25,0.50,7.25,4,Low
BMBY,Design,3.82,0.25,10.25,15,Medium
BMBY,FE Devs,12.15,0.25,99.75,49,High
BMBY,PMs,7.26,0.25,56.92,18,Medium
BMBY,UX,4.89,0.25,18.50,9,Low
SRLK,BE Devs,16.28,0.25,97.25,45,High
SRLK,Design,5.20,0.25,11.25,15,Medium
SRLK,FE Devs,9.84,0.17,79.00,69,High
SRLK,PMs,3.03,0.25,30.75,71,High
SRLK,UX,2.58,0.50,6.00,13,Medium
