Project,Month,Team,Hours,Year,Month_Name
BIGO,2024-06,UX,2.00,2024,June
BIGO,2024-06,PMs,1.50,2024,June
BIGO,2024-06,FE Devs,1.00,2024,June
BIGO,2024-06,BE Devs,0.33,2024,June
BIGO,2024-07,FE Devs,69.40,2024,July
BIGO,2024-07,Design,39.08,2024,July
BIGO,2024-07,PMs,36.08,2024,July
BIGO,2024-07,UX,27.25,2024,July
BIGO,2024-07,BE Devs,23.70,2024,July
BIGO,2024-08,FE Devs,252.25,2024,August
BIGO,2024-08,Design,56.25,2024,August
BIGO,2024-08,PMs,52.60,2024,August
BIGO,2024-08,BE Devs,16.42,2024,August
BIGO,2024-08,UX,8.67,2024,August
BIGO,2024-09,FE Devs,241.75,2024,September
BIGO,2024-09,PMs,66.69,2024,September
BIGO,2024-09,Design,23.50,2024,September
BIGO,2024-09,BE Devs,18.45,2024,September
BIGO,2024-09,UX,3.25,2024,September
BIGO,2024-10,FE Devs,160.75,2024,October
BIGO,2024-10,PMs,75.00,2024,October
BIGO,2024-10,Design,10.00,2024,October
BIGO,2024-10,UX,9.25,2024,October
BIGO,2024-10,BE Devs,8.42,2024,October
BIGO,2024-11,FE Devs,77.08,2024,November
BIGO,2024-11,PMs,17.25,2024,November
BIGO,2024-11,UX,3.50,2024,November
BIGO,2024-12,FE Devs,24.25,2024,December
BIGO,2024-12,PMs,7.08,2024,December
BIGO,2024-12,UX,2.00,2024,December
BIGO,2024-12,Design,1.50,2024,December
BIGO,2025-01,FE Devs,41.00,2025,January
BIGO,2025-01,PMs,17.50,2025,January
BIGO,2025-01,UX,11.00,2025,January
BIGO,2025-02,PMs,24.92,2025,February
BIGO,2025-02,FE Devs,7.92,2025,February
BIGO,2025-02,UX,7.00,2025,February
BIGO,2025-02,Design,3.00,2025,February
BIGO,2025-03,FE Devs,31.75,2025,March
BIGO,2025-03,PMs,25.00,2025,March
BIGO,2025-03,UX,1.50,2025,March
BIGO,2025-03,Design,0.50,2025,March
BIGO,2025-04,FE Devs,23.75,2025,April
BIGO,2025-04,PMs,17.50,2025,April
BIGO,2025-04,UX,2.50,2025,April
BIGO,2025-04,Design,2.25,2025,April
BIGO,2025-05,FE Devs,37.00,2025,May
BIGO,2025-05,PMs,22.25,2025,May
BIGO,2025-05,UX,0.75,2025,May
BIGO,2025-06,PMs,35.25,2025,June
BIGO,2025-06,FE Devs,24.25,2025,June
BIGO,2025-06,UX,1.00,2025,June
BIGO,2025-07,PMs,33.25,2025,July
BIGO,2025-07,FE Devs,5.75,2025,July
BIGO,2025-08,FE Devs,23.00,2025,August
BIGO,2025-08,PMs,15.75,2025,August
BIGO,2025-08,Design,11.00,2025,August
BIGO,2025-09,FE Devs,63.25,2025,September
BIGO,2025-09,PMs,26.25,2025,September
BIGO,2025-09,UX,1.00,2025,September
BIGO,2025-10,FE Devs,32.20,2025,October
BIGO,2025-10,PMs,25.58,2025,October
BIGO,2025-11,PMs,1.00,2025,November
BIGO,2025-11,FE Devs,0.75,2025,November
BMBY,2024-07,FE Devs,73.75,2024,July
BMBY,2024-07,PMs,41.50,2024,July
BMBY,2024-07,Design,38.50,2024,July
BMBY,2024-07,UX,28.00,2024,July
BMBY,2024-07,BE Devs,7.25,2024,July
BMBY,2024-08,FE Devs,411.75,2024,August
BMBY,2024-08,PMs,56.92,2024,August
BMBY,2024-08,Design,14.50,2024,August
BMBY,2024-08,UX,10.50,2024,August
BMBY,2024-08,BE Devs,1.00,2024,August
BMBY,2024-09,FE Devs,93.25,2024,September
BMBY,2024-09,PMs,30.50,2024,September
BMBY,2024-09,UX,5.50,2024,September
BMBY,2024-09,Design,4.25,2024,September
BMBY,2024-09,BE Devs,4.25,2024,September
BMBY,2024-10,FE Devs,9.75,2024,October
BMBY,2024-10,PMs,1.00,2024,October
BMBY,2024-11,FE Devs,6.75,2024,November
BMBY,2024-11,PMs,0.75,2024,November
BMBY,2024-11,BE Devs,0.50,2024,November
SRLK,2024-10,FE Devs,25.00,2024,October
SRLK,2024-10,PMs,20.75,2024,October
SRLK,2024-10,Design,19.25,2024,October
