Category,Epic,Teams_Involved,Total_Hours,Epic_Summary
Backend-Only,SRLK-SRLK-32,BE Devs,48.00,Order Integration
Cross-Functional (Complex),BIGO-BIGO-1,"BE Devs, Design, FE Devs, PMs, UX",706.01,Project oversight / support
Cross-Functional (Complex),SRLK-SRLK-1,"BE Devs, Design, FE Devs, PMs, UX",439.67,Project Oversight / Support
Cross-Functional (Complex),BIGO-No Epic,"Design, FE Devs, PMs, UX",405.33,
Cross-Functional (Complex),BMBY-BMBY-1,"BE Devs, Design, FE Devs, PMs, UX",347.42,Project Oversight / Support
Cross-Functional (Complex),SRLK-SRLK-27,"BE Devs, Design, FE Devs, PMs",159.72,BOPIS / Locations
Cross-Functional (Complex),BIGO-BIGO-47,"BE Devs, Design, FE Devs, PMs",129.04,Content Sections
Cross-Functional (Complex),BMBY-BMBY-27,"Design, FE Devs, PMs, UX",114.25,Content Sections
Cross-Functional (Complex),BIGO-BIGO-46,"BE Devs, Design, FE Devs, PMs",89.75,PLP / Search
Cross-Functional (Complex),BIGO-BIGO-43,"BE Devs, Design, FE Devs, PMs",86.37,Product Details
Cross-Functional (Complex),SRLK-SRLK-13,"Design, FE Devs, PMs, UX",63.00,Globals & Style Guide
Cross-Functional (Complex),BMBY-BMBY-20,"Design, FE Devs, PMs, UX",54.75,PDP Image & Summary
Cross-Functional (Complex),BIGO-BIGO-144,"BE Devs, Design, FE Devs, PMs",38.75,Cart
Cross-Functional (Complex),BMBY-BMBY-18,"Design, FE Devs, PMs, UX",31.50,PLP / SRP
Cross-Functional (Complex),SRLK-SRLK-37,"BE Devs, FE Devs, PMs, UX",31.00,Launch Set Up
Design-Only,BIGO-BIGO-113,"Design, UX",31.00,Design Prototyping and Refinement
Design-Only,BMBY-BMBY-35,UX,18.50,Analytics
Frontend-Only,BMBY-BMBY-22,FE Devs,14.00,PDP Upsells & Cross Sells
Frontend-Only,BMBY-BMBY-25,FE Devs,13.75,Blog
Frontend-Only,BMBY-BMBY-24,FE Devs,11.75,BOPIS / Locations
Frontend-Only,BMBY-BMBY-28,FE Devs,9.25,Reviews
Frontend-Only,BMBY-BMBY-19,FE Devs,8.50,Quick View
Frontend-Only,BMBY-BMBY-16,FE Devs,7.75,Mega Menu
Frontend-Only,BMBY-BMBY-29,FE Devs,5.75,Emails
Frontend-Only,BIGO-BIGO-118,FE Devs,3.00,CI & Deployment
Frontend-Only,BMBY-BMBY-90,FE Devs,1.75,Account
Frontend-Only,BMBY-BMBY-91,FE Devs,1.75,3rd Party Apps
