Characteristic,Value,Team,Avg_Hours,Min_Hours,Max_Hours,Sample_Size,Median_Hours
be_integrations,YES,BE Devs,66.60,13.00,370.75,11,28.00
be_integrations,YES,Design,9.75,0.50,24.00,8,7.25
be_integrations,YES,FE Devs,27.15,0.28,144.67,25,15.50
be_integrations,YES,PMs,6.93,0.25,184.83,31,1.00
be_integrations,YES,UX,6.70,0.50,14.50,5,6.00
be_integrations,NO,BE Devs,10.04,0.25,36.37,8,9.62
be_integrations,NO,Design,8.88,0.25,44.08,23,2.25
be_integrations,NO,FE Devs,39.82,0.75,323.75,43,14.00
be_integrations,NO,PMs,16.61,0.25,390.58,38,1.00
be_integrations,NO,UX,11.33,0.50,39.92,11,6.25
custom_theme,YES,BE Devs,42.79,0.25,370.75,19,18.47
custom_theme,YES,Design,9.11,0.25,44.08,31,5.25
custom_theme,YES,FE Devs,35.16,0.28,323.75,68,15.50
custom_theme,YES,PMs,12.26,0.25,390.58,69,1.00
custom_theme,YES,UX,9.89,0.50,39.92,16,6.25
custom_designs,YES,BE Devs,42.79,0.25,370.75,19,18.47
custom_designs,YES,Design,9.11,0.25,44.08,31,5.25
custom_designs,YES,FE Devs,35.16,0.28,323.75,68,15.50
custom_designs,YES,PMs,12.26,0.25,390.58,69,1.00
custom_designs,YES,UX,9.89,0.50,39.92,16,6.25
ux_research,YES,BE Devs,66.60,13.00,370.75,11,28.00
ux_research,YES,Design,9.75,0.50,24.00,8,7.25
ux_research,YES,FE Devs,27.15,0.28,144.67,25,15.50
ux_research,YES,PMs,6.93,0.25,184.83,31,1.00
ux_research,YES,UX,6.70,0.50,14.50,5,6.00
ux_research,NO,BE Devs,10.04,0.25,36.37,8,9.62
ux_research,NO,Design,8.88,0.25,44.08,23,2.25
ux_research,NO,FE Devs,39.82,0.75,323.75,43,14.00
ux_research,NO,PMs,16.61,0.25,390.58,38,1.00
ux_research,NO,UX,11.33,0.50,39.92,11,6.25
