Epic,Team,Total_Months,Total_Hours,Month_Num,Phase,Percent_Of_Total
SRLK-SRLK-1,BE Devs,13,71.67,1,Ramp Up,14.7
SRLK-SRLK-1,BE Devs,13,71.67,2,Ramp Up,26.2
SRLK-SRLK-1,BE Devs,13,71.67,3,Busy,13.3
SRLK-SRLK-1,BE Devs,13,71.67,4,Busy,10.1
SRLK-SRLK-1,BE Devs,13,71.67,5,Busy,5.9
SRLK-SRLK-1,BE Devs,13,71.67,6,Busy,9.0
SRLK-SRLK-1,BE Devs,13,71.67,7,Busy,4.2
SRLK-SRLK-1,BE Devs,13,71.67,8,Busy,8.7
SRLK-SRLK-1,BE Devs,13,71.67,9,Busy,3.1
SRLK-SRLK-1,BE Devs,13,71.67,10,Busy,2.1
SRLK-SRLK-1,BE Devs,13,71.67,11,Busy,0.7
SRLK-SRLK-1,BE Devs,13,71.67,12,Ramp Down,1.4
SRLK-SRLK-1,BE Devs,13,71.67,13,Ramp Down,0.7
SRLK-SRLK-1,Design,13,24.00,1,Ramp Up,25.0
SRLK-SRLK-1,Design,13,24.00,2,Ramp Up,42.7
SRLK-SRLK-1,Design,13,24.00,3,Busy,31.2
SRLK-SRLK-1,Design,13,24.00,4,Busy,1.0
SRLK-SRLK-1,Design,13,24.00,5,Busy,0.0
SRLK-SRLK-1,Design,13,24.00,6,Busy,0.0
SRLK-SRLK-1,Design,13,24.00,7,Busy,0.0
SRLK-SRLK-1,Design,13,24.00,8,Busy,0.0
SRLK-SRLK-1,Design,13,24.00,9,Busy,0.0
SRLK-SRLK-1,Design,13,24.00,10,Busy,0.0
SRLK-SRLK-1,Design,13,24.00,11,Busy,0.0
SRLK-SRLK-1,Design,13,24.00,12,Ramp Down,0.0
SRLK-SRLK-1,Design,13,24.00,13,Ramp Down,0.0
SRLK-SRLK-1,FE Devs,13,144.67,1,Ramp Up,17.3
SRLK-SRLK-1,FE Devs,13,144.67,2,Ramp Up,34.7
SRLK-SRLK-1,FE Devs,13,144.67,3,Busy,16.2
SRLK-SRLK-1,FE Devs,13,144.67,4,Busy,17.6
SRLK-SRLK-1,FE Devs,13,144.67,5,Busy,4.1
SRLK-SRLK-1,FE Devs,13,144.67,6,Busy,1.0
SRLK-SRLK-1,FE Devs,13,144.67,7,Busy,5.4
SRLK-SRLK-1,FE Devs,13,144.67,8,Busy,2.4
SRLK-SRLK-1,FE Devs,13,144.67,9,Busy,0.0
SRLK-SRLK-1,FE Devs,13,144.67,10,Busy,0.9
SRLK-SRLK-1,FE Devs,13,144.67,11,Busy,0.0
SRLK-SRLK-1,FE Devs,13,144.67,12,Ramp Down,0.2
SRLK-SRLK-1,FE Devs,13,144.67,13,Ramp Down,0.2
SRLK-SRLK-1,PMs,13,184.83,1,Ramp Up,10.6
SRLK-SRLK-1,PMs,13,184.83,2,Ramp Up,16.6
SRLK-SRLK-1,PMs,13,184.83,3,Busy,6.6
SRLK-SRLK-1,PMs,13,184.83,4,Busy,15.1
SRLK-SRLK-1,PMs,13,184.83,5,Busy,9.2
SRLK-SRLK-1,PMs,13,184.83,6,Busy,10.1
SRLK-SRLK-1,PMs,13,184.83,7,Busy,8.9
SRLK-SRLK-1,PMs,13,184.83,8,Busy,7.2
SRLK-SRLK-1,PMs,13,184.83,9,Busy,6.0
SRLK-SRLK-1,PMs,13,184.83,10,Busy,5.1
SRLK-SRLK-1,PMs,13,184.83,11,Busy,1.2
SRLK-SRLK-1,PMs,13,184.83,12,Ramp Down,2.2
SRLK-SRLK-1,PMs,13,184.83,13,Ramp Down,1.1
SRLK-SRLK-1,UX,13,14.50,1,Ramp Up,27.6
SRLK-SRLK-1,UX,13,14.50,2,Ramp Up,29.3
