Project,Month,Epic,Epic_Summary,Hours
SRLK,2024-11,SRLK-1,"Project Oversight / Support",79.83
SRLK,2024-11,SRLK-13,"Globals & Style Guide",19.25
SRLK,2024-11,SRLK-15,"Header",19.50
SRLK,2024-11,SRLK-16,"Footer",6.50
SRLK,2024-11,SRLK-17,"Content Sections",0.25
SRLK,2024-11,SRLK-18,"Mega Menu",6.00
SRLK,2024-11,SRLK-20,"PDP Image & Summary",9.00
SRLK,2024-11,SRLK-23,"PLP / SRP",7.25
SRLK,2024-11,SRLK-27,"BOPIS / Locations",6.00
SRLK,2024-11,SRLK-29,"Brands",1.50
SRLK,2024-11,SRLK-31,"Catalog Integration",14.00
SRLK,2024-12,SRLK-1,"Project Oversight / Support",55.00
SRLK,2024-12,SRLK-13,"Globals & Style Guide",6.00
SRLK,2024-12,SRLK-136,"Instagram Section",0.25
SRLK,2024-12,SRLK-15,"Header",9.25
SRLK,2024-12,SRLK-16,"Footer",29.00
SRLK,2024-12,SRLK-17,"Content Sections",49.00
SRLK,2024-12,SRLK-18,"Mega Menu",0.75
SRLK,2024-12,SRLK-19,"Search",11.75
SRLK,2024-12,SRLK-20,"PDP Image & Summary",8.25
SRLK,2024-12,SRLK-21,"PDP Details",0.25
SRLK,2024-12,SRLK-23,"PLP / SRP",30.00
SRLK,2024-12,SRLK-24,"Cart",14.25
SRLK,2024-12,SRLK-27,"BOPIS / Locations",79.00
SRLK,2024-12,SRLK-31,"Catalog Integration",84.00
SRLK,2024-12,SRLK-39,"Components",18.00
SRLK,2025-01,SRLK-1,"Project Oversight / Support",62.00
SRLK,2025-01,SRLK-13,"Globals & Style Guide",16.75
SRLK,2025-01,SRLK-132,"Reviews",5.75
SRLK,2025-01,SRLK-136,"Instagram Section",4.75
SRLK,2025-01,SRLK-14,"Analytics",0.25
SRLK,2025-01,SRLK-15,"Header",0.25
SRLK,2025-01,SRLK-154,"Wishlist",7.75
SRLK,2025-01,SRLK-16,"Footer",0.25
SRLK,2025-01,SRLK-17,"Content Sections",2.00
SRLK,2025-01,SRLK-18,"Mega Menu",1.50
SRLK,2025-01,SRLK-20,"PDP Image & Summary",16.50
SRLK,2025-01,SRLK-21,"PDP Details",14.00
SRLK,2025-01,SRLK-212,"Pages",1.50
SRLK,2025-01,SRLK-22,"PDP Upsells",20.50
SRLK,2025-01,SRLK-23,"PLP / SRP",2.75
SRLK,2025-01,SRLK-24,"Cart",8.50
SRLK,2025-01,SRLK-26,"Shipping",0.25
SRLK,2025-01,SRLK-27,"BOPIS / Locations",68.97
SRLK,2025-01,SRLK-29,"Brands",3.25
SRLK,2025-01,SRLK-31,"Catalog Integration",75.25
SRLK,2025-01,SRLK-35,"User Integration",0.25
SRLK,2025-01,SRLK-36,"Bulk Image Uploader",36.25
SRLK,2025-01,SRLK-37,"Launch Set Up",1.75
SRLK,2025-01,SRLK-38,"Emails",0.25
SRLK,2025-01,SRLK-39,"Components",22.50
SRLK,2025-02,SRLK-1,"Project Oversight / Support",27.33
