epic_key,project_key,epic_summary,old_category,new_category,change_type,used_fuzzy_match
BEVS-10,BEVS,Footer,Uncategorized,UI Dev,new,False
BEVS-11,BEVS,Content Sections,BE Dev,UI Dev,updated,False
BEVS-115,BEVS,Checkout,BE Dev,UI Dev,updated,False
BEVS-116,BEVS,Product Migration,Project Oversight,UI Dev,updated,False
BEVS-12,BEVS,Cart,BE Dev,UI Dev,updated,False
BEVS-13,BEVS,Product Listings,BE Dev,UI Dev,updated,False
BEVS-136,BEVS,Quick Order,BE Dev,UI Dev,updated,False
BEVS-15,BEVS,Search,BE Dev,UI Dev,updated,False
BEVS-16,BEVS,Product Details,BE Dev,UI Dev,updated,False
BEVS-17,BEVS,Product Recommendations,BE Dev,UI Dev,updated,False
BEVS-2,BEVS,Environment Setup,Infrastructure,UI Dev,updated,False
BEVS-3,BEVS,Launch Support,Project Oversight,Launch Support,updated,True
BEVS-7,BEVS,Globals,Uncategorized,UI Dev,new,False
BEVS-8,BEVS,Header,FE Dev,UI Dev,updated,False
BEVS-9,BEVS,Navigation,Uncategorized,UI Dev,new,False
NO_EPIC,BEVS,NO_EPIC,None,Uncategorized,new,False
BIGO-144,BIGO,Cart,BE Dev,UI Dev,updated,False
BIGO-155,BIGO,Analytics & SEO,Data,SEO & Analytics,updated,False
BIGO-165,BIGO,UAT | PLP,UX,UI Dev,updated,False
BIGO-173,BIGO,UAT | PDP,UX,UI Dev,updated,False
BIGO-193,BIGO,UAT | Global Site Functionality,QA,UI Dev,updated,False
BIGO-194,BIGO,UAT | Homepage Sections,UX,UI Dev,updated,False
BIGO-23,BIGO,Migrations and Automation,Infrastructure,Migrations,updated,True
BIGO-25,BIGO,3rd Party apps,Uncategorized,3rd Party Apps,new,True
BIGO-253,BIGO,UAT | Discounts/Promotions,QA,UI Dev,updated,False
BIGO-38,BIGO,Globals,Uncategorized,UI Dev,new,False
BIGO-40,BIGO,Blog,Uncategorized,UI Dev,new,False
BIGO-41,BIGO,Account,Uncategorized,UI Dev,new,False
BIGO-42,BIGO,Pages,Uncategorized,UI Dev,new,False
BIGO-43,BIGO,Product Details,BE Dev,UI Dev,updated,False
BIGO-44,BIGO,Components,Uncategorized,UI Dev,new,False
BIGO-45,BIGO,Site Structure,Project Oversight,UI Dev,updated,False
BIGO-46,BIGO,PLP / Search,BE Dev,UI Dev,updated,False
BIGO-47,BIGO,Content Sections,BE Dev,UI Dev,updated,False
NO_EPIC,BIGO,NO_EPIC,None,Uncategorized,new,False
BMBY-132,BMBY,Launch Set Up,Project Oversight,Launch Support,updated,False
BMBY-14,BMBY,Header,FE Dev,UI Dev,updated,False
BMBY-147,BMBY,Store Attribution,BE Dev,UI Dev,updated,False
BMBY-15,BMBY,Footer,Uncategorized,UI Dev,new,False
BMBY-16,BMBY,Mega Menu,FE Dev,UI Dev,updated,False
BMBY-17,BMBY,Search,BE Dev,UI Dev,updated,False
BMBY-18,BMBY,PLP / SRP,Uncategorized,UI Dev,new,False
BMBY-19,BMBY,Quick View,FE Dev,UI Dev,updated,False
BMBY-20,BMBY,PDP Image & Summary,FE Dev,UI Dev,updated,False
BMBY-21,BMBY,PDP Details,BE Dev,UI Dev,updated,False
